town,office,district,party,candidate,votes
Spencer,President/Vice President,,IND,McMullin and Johnson,10
Spencer,President/Vice President,,,Write-ins,94
Spencer,President/Vice President,,,Blanks,82
Spencer,Representative in Congress,MA-2,DEM,James P. McGovern,4196
Spencer,Representative in Congress,MA-2,,Blanks,1630
Spencer,Senator in General Court,"Worcester, Hampden, Hampshire & Middlesex",DEM,Anne M. Gobi,3537
Spencer,Senator in General Court,"Worcester, Hampden, Hampshire & Middlesex",REP,James P. Ehrhard,1986
Spencer,Senator in General Court,"Worcester, Hampden, Hampshire & Middlesex",,Blanks,352
Spencer,Representative in General Court,5th Worcester,REP,"Donald R. Berthiaume, Jr.",3475
Spencer,Representative in General Court,5th Worcester,REP,Peter J. Durant,1145
Spencer,Representative in General Court,5th Worcester,,Blanks,1238
Walpole,President/Vice President,,DEM,Clinton and Kaine,7270
Walpole,President/Vice President,,LIB,Johnson and Weld,755
Walpole,President/Vice President,,GRN,Stein and Baraka,135
Walpole,President/Vice President,,REP,Trump and Pence,6046
Walpole,President/Vice President,,IND,McMullin and Johnson,31
Walpole,President/Vice President,,,Write-Ins,298
Walpole,President/Vice President,,,Blanks,293
Walpole,Representative in Congress,MA-8,DEM,Stephen F Lynch,9440
Walpole,Representative in Congress,MA-8,REP,William Burke,4715
Walpole,Representative in Congress,MA-8,,Write-Ins,11
Walpole,Representative in Congress,MA-8,,Blanks,662
Walpole,Senator in General Court,Bristol and Norfolk,DEM,James E Timilty,11273
Walpole,Senator in General Court,Bristol and Norfolk,,Write-Ins,85
Walpole,Senator in General Court,Bristol and Norfolk,,Blanks,3470
Walpole,Representative in General Court,12th Norfolk,DEM,John H Rogers,3906
Walpole,Representative in General Court,12th Norfolk,REP,Tim Hempton,3259
Walpole,Representative in General Court,12th Norfolk,,Write-Ins,5
Walpole,Representative in General Court,12th Norfolk,,Blanks,468
Walpole,Representative in General Court,8th Norfolk,DEM,Louis L Kafka,2627
Walpole,Representative in General Court,8th Norfolk,,Write-Ins,22
Walpole,Representative in General Court,8th Norfolk,,Blanks,1044
Walpole,Representative in General Court,9th Norfolk,REP,Shawn C Dooley,930
Walpole,Representative in General Court,9th Norfolk,DEM,Brian P Hamlin,541
Walpole,Representative in General Court,9th Norfolk,,Write-Ins,0
Walpole,Representative in General Court,9th Norfolk,,Blanks,139
Walpole,Representative in General Court,11th Norfolk,DEM,Paul McMurtry,1233
Walpole,Representative in General Court,11th Norfolk,,Write-Ins,17
Walpole,Representative in General Court,11th Norfolk,,Blanks,637
